IN_FID	NEAR_FID	NEAR_DIST	reserve	vegetation
5732	167	21.22900451760	Bruce Ridge NR	Forest
5733	76	71.94336328700	Bruce Ridge NR	Forest
5733	138	63.86840964500	Bruce Ridge NR	Forest
5733	149	42.98759729180	Bruce Ridge NR	Forest
5733	164	63.86840964500	Bruce Ridge NR	Forest
5734	98	81.13510096010	Bruce Ridge NR	Forest
5734	138	92.68035854770	Bruce Ridge NR	Forest
5734	139	1.73115218901	Bruce Ridge NR	Forest
5735	211	23.48473556940	Bruce Ridge NR	Forest
5735	74	45.04048285720	Bruce Ridge NR	Forest
5735	75	46.17011644540	Bruce Ridge NR	Forest
5736	148	46.51563999430	Bruce Ridge NR	Open Forest
5736	207	91.67176293200	Bruce Ridge NR	Open Forest
5736	208	1.32133548814	Bruce Ridge NR	Open Forest
5736	219	94.85713170840	Bruce Ridge NR	Open Forest
5737	98	47.00119805610	Bruce Ridge NR	Open Forest
5737	139	80.96241706410	Bruce Ridge NR	Open Forest
5738	208	96.49986688750	Bruce Ridge NR	Open Forest
5738	126	76.09013051360	Bruce Ridge NR	Open Forest
5739	148	67.17281543970	Bruce Ridge NR	Open Forest
5739	207	7.92366843042	Bruce Ridge NR	Open Forest
5739	208	82.66282859350	Bruce Ridge NR	Open Forest
5739	126	70.70732234640	Bruce Ridge NR	Open Forest
5739	149	56.10538117110	Bruce Ridge NR	Open Forest
5740	76	5.15934472195	Bruce Ridge NR	Forest
5741	148	80.75337374240	Bruce Ridge NR	Open Forest
5741	207	83.26246540520	Bruce Ridge NR	Open Forest
5741	126	27.79297039470	Bruce Ridge NR	Open Forest
5741	149	80.79450283630	Bruce Ridge NR	Open Forest
5742	98	9.58941511757	Bruce Ridge NR	Open Forest
5743	138	88.64318780830	Bruce Ridge NR	Forest
5743	139	39.03035744470	Bruce Ridge NR	Forest
5743	141	45.39988492300	Bruce Ridge NR	Forest
5744	98	12.54470537170	Bruce Ridge NR	Open Forest
5744	139	70.47723138050	Bruce Ridge NR	Open Forest
5745	139	40.15416333610	Bruce Ridge NR	Open Forest
5746	76	99.00377339890	Bruce Ridge NR	Forest
5746	138	77.03704816670	Bruce Ridge NR	Forest
5746	167	29.10458705340	Bruce Ridge NR	Forest
5747	139	97.97131802800	Bruce Ridge NR	Open Forest
5747	74	90.54138281550	Bruce Ridge NR	Open Forest
5747	102	83.75867707810	Bruce Ridge NR	Open Forest
5748	98	28.03827095620	Bruce Ridge NR	Open Forest
5748	139	64.61199920840	Bruce Ridge NR	Open Forest
5748	223	32.25274035190	Bruce Ridge NR	Open Forest
5749	207	48.36045455230	Bruce Ridge NR	Open Forest
5749	208	32.43477530340	Bruce Ridge NR	Open Forest
5749	219	67.43384764560	Bruce Ridge NR	Open Forest
5750	98	43.39250330110	Bruce Ridge NR	Open Forest
5750	139	49.75633390770	Bruce Ridge NR	Open Forest
5751	76	47.34288210160	Bruce Ridge NR	Open Forest
5751	138	63.20336788910	Bruce Ridge NR	Open Forest
5751	149	65.26100012980	Bruce Ridge NR	Open Forest
5751	164	65.35929343720	Bruce Ridge NR	Open Forest
5752	139	15.19346832560	Bruce Ridge NR	Open Forest
5753	139	94.44873886480	Bruce Ridge NR	Open Forest
5754	139	55.39699482890	Bruce Ridge NR	Open Forest
5755	223	54.12399097290	Bruce Ridge NR	Forest
5756	162	73.12594130530	Bruce Ridge NR	Open Forest
5756	207	88.12243705330	Bruce Ridge NR	Open Forest
5756	208	33.45564871830	Bruce Ridge NR	Open Forest
5756	219	61.15136225970	Bruce Ridge NR	Open Forest
5757	98	91.80405851650	Bruce Ridge NR	Forest
5757	138	69.21854218460	Bruce Ridge NR	Forest
5757	167	94.42913175930	Bruce Ridge NR	Forest
5758	162	69.36174629860	Bruce Ridge NR	Open Forest
5758	208	32.77998998030	Bruce Ridge NR	Open Forest
5758	219	5.56218041750	Bruce Ridge NR	Open Forest
5759	223	32.71097512120	Bruce Ridge NR	Open Forest
5760	223	72.64199139870	Bruce Ridge NR	Forest
5761	211	51.23112664050	Bruce Ridge NR	Forest
5761	74	50.82701548400	Bruce Ridge NR	Forest
5761	75	83.77741340620	Bruce Ridge NR	Forest
5762	148	90.31416742400	Bruce Ridge NR	Open Forest
5762	207	98.54436647910	Bruce Ridge NR	Open Forest
5762	126	3.01802322807	Bruce Ridge NR	Open Forest
5762	149	92.38202226870	Bruce Ridge NR	Open Forest
5763	139	1.86763900127	Bruce Ridge NR	Forest
5763	126	91.66563915970	Bruce Ridge NR	Forest
5764	211	19.88749508710	Bruce Ridge NR	Forest
5764	74	91.37895490960	Bruce Ridge NR	Forest
5764	75	92.84601417830	Bruce Ridge NR	Forest
5765	138	95.32766029420	Bruce Ridge NR	Forest
5766	138	43.87681002610	Bruce Ridge NR	Open Forest
5766	126	85.86327118820	Bruce Ridge NR	Open Forest
5766	149	43.87681002610	Bruce Ridge NR	Open Forest
5766	164	38.94870639630	Bruce Ridge NR	Open Forest
5766	183	25.81094740370	Bruce Ridge NR	Open Forest
5767	126	12.40356331690	Bruce Ridge NR	Open Forest
5768	211	6.69492690056	Bruce Ridge NR	Open Forest
5769	98	0.52737554042	Bruce Ridge NR	Open Forest
5769	139	54.19365679060	Bruce Ridge NR	Open Forest
5770	138	68.48175844360	Bruce Ridge NR	Open Forest
5770	126	67.83676343540	Bruce Ridge NR	Open Forest
5770	149	59.75846958410	Bruce Ridge NR	Open Forest
5770	164	66.45386576700	Bruce Ridge NR	Open Forest
5770	183	52.30343162190	Bruce Ridge NR	Open Forest
5771	76	96.49948191700	Bruce Ridge NR	Open Forest
5771	162	42.72963513710	Bruce Ridge NR	Open Forest
5771	208	25.03103188600	Bruce Ridge NR	Open Forest
5771	219	49.96929534310	Bruce Ridge NR	Open Forest
5772	98	63.41170644540	Bruce Ridge NR	Open Forest
5772	139	35.41254966350	Bruce Ridge NR	Open Forest
5772	223	70.26504249630	Bruce Ridge NR	Open Forest
5772	150	84.56541664390	Bruce Ridge NR	Open Forest
5773	98	44.92065766330	Bruce Ridge NR	Open Forest
5773	139	61.05721563530	Bruce Ridge NR	Open Forest
5774	148	33.46958687580	Bruce Ridge NR	Open Forest
5774	207	33.62744375090	Bruce Ridge NR	Open Forest
5774	208	50.72433110710	Bruce Ridge NR	Open Forest
5774	126	77.64476931850	Bruce Ridge NR	Open Forest
5774	149	71.62587061210	Bruce Ridge NR	Open Forest
5775	138	2.70989522130	Bruce Ridge NR	Forest
5775	141	92.98545397890	Bruce Ridge NR	Forest
5775	150	85.87166934150	Bruce Ridge NR	Forest
5776	126	43.10861490430	Bruce Ridge NR	Open Forest
5776	149	82.67339093030	Bruce Ridge NR	Open Forest
5777	167	42.81981165020	Bruce Ridge NR	Forest
5777	166	76.55100859200	Bruce Ridge NR	Forest
5778	138	69.87428276050	Bruce Ridge NR	Forest
5778	139	50.29888536300	Bruce Ridge NR	Forest
5778	150	21.33133557310	Bruce Ridge NR	Forest
5779	76	94.96038640060	Bruce Ridge NR	Forest
5779	138	84.92824627600	Bruce Ridge NR	Forest
5779	167	16.75219646260	Bruce Ridge NR	Forest
5780	211	4.80199484233	Bruce Ridge NR	Forest
5781	167	85.49656892310	Bruce Ridge NR	Forest
5781	166	73.27604767660	Bruce Ridge NR	Forest
5782	98	83.12128575170	Bruce Ridge NR	Open Forest
5782	223	25.87698349600	Bruce Ridge NR	Open Forest
5783	167	52.04797261870	Bruce Ridge NR	Forest
5783	166	60.92825429490	Bruce Ridge NR	Forest
5784	223	71.93910451010	Bruce Ridge NR	Forest
5785	148	58.66525696140	Bruce Ridge NR	Open Forest
5785	149	8.78632181458	Bruce Ridge NR	Open Forest
5786	223	91.11309289730	Bruce Ridge NR	Open Forest
5787	126	54.94011923330	Bruce Ridge NR	Open Forest
5787	158	21.37570822060	Bruce Ridge NR	Open Forest
5788	139	84.19489895570	Bruce Ridge NR	Open Forest
5788	74	89.45195332010	Bruce Ridge NR	Open Forest
5788	101	40.32435024520	Bruce Ridge NR	Open Forest
5788	102	25.13645394920	Bruce Ridge NR	Open Forest
5788	150	52.02130426570	Bruce Ridge NR	Open Forest
5789	126	88.67220791030	Bruce Ridge NR	Open Forest
5789	158	94.64286149430	Bruce Ridge NR	Open Forest
5790	139	35.16981717410	Bruce Ridge NR	Open Forest
5791	167	7.18913512713	Bruce Ridge NR	Open Forest
5792	211	61.93405330230	Bruce Ridge NR	Forest
5792	74	87.47519002440	Bruce Ridge NR	Forest
5792	75	91.16936500870	Bruce Ridge NR	Forest
5793	167	20.23675276220	Bruce Ridge NR	Open Forest
5793	166	53.78547947070	Bruce Ridge NR	Open Forest
5794	76	88.18665913670	Bruce Ridge NR	Open Forest
5794	162	87.16673460330	Bruce Ridge NR	Open Forest
5794	208	92.20264321230	Bruce Ridge NR	Open Forest
5794	149	92.65286508050	Bruce Ridge NR	Open Forest
5795	215	92.81474643370	Bruce Ridge NR	Open Forest
5796	148	82.01248480210	Bruce Ridge NR	Open Forest
5796	149	34.45819444300	Bruce Ridge NR	Open Forest
5797	139	74.98251400310	Bruce Ridge NR	Open Forest
5797	126	1.86014051111	Bruce Ridge NR	Open Forest
5798	139	40.71777978140	Bruce Ridge NR	Open Forest
5799	76	90.22224743540	Bruce Ridge NR	Open Forest
5799	138	19.51026226340	Bruce Ridge NR	Open Forest
5799	149	22.77690261320	Bruce Ridge NR	Open Forest
5799	164	22.78844953610	Bruce Ridge NR	Open Forest
5799	183	77.83515121250	Bruce Ridge NR	Open Forest
5800	76	34.52324987390	Bruce Ridge NR	Open Forest
5800	138	49.08987112510	Bruce Ridge NR	Open Forest
5801	98	47.33350358280	Bruce Ridge NR	Open Forest
5802	211	54.08343070610	Bruce Ridge NR	Forest
5802	74	79.25693099190	Bruce Ridge NR	Forest
5802	75	82.54672511420	Bruce Ridge NR	Forest
5803	98	56.05192700280	Bruce Ridge NR	Open Forest
5803	223	84.54705497400	Bruce Ridge NR	Open Forest
5804	138	16.01223270270	Bruce Ridge NR	Forest
5804	150	31.01156416190	Bruce Ridge NR	Forest
5805	167	71.23842701230	Bruce Ridge NR	Forest
5805	166	79.64162522150	Bruce Ridge NR	Forest
5806	211	93.58945265740	Bruce Ridge NR	Forest
5806	74	41.08188850680	Bruce Ridge NR	Forest
5806	75	93.50490756850	Bruce Ridge NR	Forest
5806	102	67.36674167500	Bruce Ridge NR	Forest
5807	126	6.09065101543	Bruce Ridge NR	Open Forest
5807	158	45.54724409100	Bruce Ridge NR	Open Forest
5808	211	9.17716863683	Bruce Ridge NR	Forest
5808	74	87.58552605240	Bruce Ridge NR	Forest
5808	75	97.63476382170	Bruce Ridge NR	Forest
5809	223	63.08638663590	Bruce Ridge NR	Forest
5810	139	63.48135498920	Bruce Ridge NR	Open Forest
5811	148	88.52734958820	Bruce Ridge NR	Open Forest
5811	207	38.88907376190	Bruce Ridge NR	Open Forest
5811	208	39.88544149490	Bruce Ridge NR	Open Forest
5811	219	75.18103512000	Bruce Ridge NR	Open Forest
5812	223	47.26108457350	Bruce Ridge NR	Forest
5813	148	74.36340331320	Bruce Ridge NR	Open Forest
5813	149	38.66839555630	Bruce Ridge NR	Open Forest
